Расходы бюджета города Москвы - всего;0;0;2 375 271 631 400,00;1 433 442 902 374,19;60,35
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0202300;630;23 864 900,00;23 864 900,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0202300;632;23 864 900,00;23 864 900,00;100,00
Субсидия некоммерческому партнерству содействия реализации общенациональной программы «В кругу семьи» на возмещение затрат, связанных с организацией и проведением третьего новогоднего фестиваля «Ледовая Москва. В кругу семьи»;09Д0202400;0;67 000 000,00;67 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0202400;600;67 000 000,00;67 000 000,00;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0202400;630;67 000 000,00;67 000 000,00;100,00
Субсидии на возмещение недополученных доходов и (или) возмещение фактически понесенных затрат;09Д0202400;631;67 000 000,00;67 000 000,00;100,00
Гранты муниципальным учреждениям культуры на осуществление уставной деятельности;09Д0202500;0;33 539 100,00;25 154 325,00;75,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0202500;600;33 539 100,00;25 154 325,00;75,00
Субсидии автономным учреждениям;09Д0202500;620;33 539 100,00;25 154 325,00;75,00
Гранты в форме субсидии автономным учреждениям;09Д0202500;623;33 539 100,00;25 154 325,00;75,00
Субсидия из бюджета города Москвы фонду «Увековечения памяти жертв политических репрессий» в целях финансового обеспечения создания постоянной экспозиции Дома русского зарубежья имени Александра Солженицына;09Д0202700;0;200 000 000,00;200 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0202700;600;200 000 000,00;200 000 000,00;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0202700;630;200 000 000,00;200 000 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0202700;632;200 000 000,00;200 000 000,00;100,00
Грант автономной некоммерческой организации реализации проектов в сфере искусства «Открытое пространство» на организацию и проведение фестиваля детского танца «СВЕТЛАНА»;09Д0202800;0;20 000 000,00;20 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0202800;600;20 000 000,00;20 000 000,00;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0202800;630;20 000 000,00;20 000 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0202800;632;20 000 000,00;20 000 000,00;100,00
Субсидия из бюджета города Москвы автономной некоммерческой организации «Фестиваль «Золотая маска» в целях финансового обеспечения затрат, связанных с организацией и проведением фестиваля «Золотая маска в Балтии»;09Д0202900;0;2 000 000,00;2 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0202900;600;2 000 000,00;2 000 000,00;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0202900;630;2 000 000,00;2 000 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0202900;632;2 000 000,00;2 000 000,00;100,00
Субсидия из бюджета города Москвы автономной некоммерческой организации Центральному Ордена Дружбы народов Дому работников искусств в целях финансового обеспечения осуществления уставной деятельности организации;09Д0203000;0;79 511 900,00;79 511 876,15;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0203000;600;79 511 900,00;79 511 876,15;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0203000;630;79 511 900,00;79 511 876,15;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0203000;632;79 511 900,00;79 511 876,15;100,00
Грант Благотворительному фонду культурных и гуманитарных инициатив «Общее дело» на проведение международной акции «Песни Победы»;09Д0203100;0;150 000 000,00;119 765 350,32;79,84
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0203100;600;150 000 000,00;119 765 350,32;79,84
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0203100;630;150 000 000,00;119 765 350,32;79,84
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0203100;632;150 000 000,00;119 765 350,32;79,84
Грант акционерному обществу «РОСКИНО» на осуществление уставной деятельности общества;09Д0203200;0;51 600 000,00;51 600 000,00;100,00
Иные бюджетные ассигнования;09Д0203200;800;51 600 000,00;51 600 000,00;100,00
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;09Д0203200;810;51 600 000,00;51 600 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0203200;812;51 600 000,00;51 600 000,00;100,00
Грант Благотворительному фонду «Фонд Валерия Гергиева» на организацию и проведение торжественного открытия концертного зала;09Д0203300;0;160 000 000,00;154 250 000,00;96,41
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0203300;600;160 000 000,00;154 250 000,00;96,41
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0203300;630;160 000 000,00;154 250 000,00;96,41
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0203300;632;160 000 000,00;154 250 000,00;96,41
Грант автономной некоммерческой организации «Конно-спортивный клуб «Кремлевская школа верховой езды» на организацию и проведение выступлений;09Д0203400;0;50 000 000,00;50 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0203400;600;50 000 000,00;50 000 000,00;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0203400;630;50 000 000,00;50 000 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0203400;632;50 000 000,00;50 000 000,00;100,00
Грант государственному унитарному предприятию города Москвы «Большой Московский государственный цирк на проспекте Вернадского» на проведение капитального ремонта фонтанного комплекса;09Д0203500;0;90 000 000,00;;
Иные бюджетные ассигнования;09Д0203500;800;90 000 000,00;;
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;09Д0203500;810;90 000 000,00;;
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0203500;812;90 000 000,00;;
Грант Государственному автономному учреждению культуры города Севастополя «Севастополь кино» на организацию и проведение кинофестивалей в городе Севастополе;09Д0203600;0;20 000 000,00;20 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0203600;600;20 000 000,00;20 000 000,00;100,00
Субсидии автономным учреждениям;09Д0203600;620;20 000 000,00;20 000 000,00;100,00
Гранты в форме субсидии автономным учреждениям;09Д0203600;623;20 000 000,00;20 000 000,00;100,00
Грант автономной некоммерческой организации «Культурно-патриотический центр «Армия и культура» на организацию и проведение благотворительного концерта;09Д0203700;0;10 000 000,00;10 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0203700;600;10 000 000,00;10 000 000,00;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0203700;630;10 000 000,00;10 000 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0203700;632;10 000 000,00;10 000 000,00;100,00
Грант Федеральному государственному бюджетному учреждению культуры «Государственный музей изобразительных искусств имени А.С. Пушкина» на осуществление уставной деятельности;09Д0203800;0;15 490 700,00;15 490 700,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0203800;600;15 490 700,00;15 490 700,00;100,00
Субсидии бюджетным учреждениям;09Д0203800;610;15 490 700,00;15 490 700,00;100,00
Гранты в форме субсидии бюджетным учреждениям;09Д0203800;613;15 490 700,00;15 490 700,00;100,00
Грант обществу с ограниченной ответственностью «Возрождение ВВЦ» на проведение познавательных мероприятий в сфере океанографии и морской биологии;09Д0203900;0;2 932 300,00;2 932 300,00;100,00
Иные бюджетные ассигнования;09Д0203900;800;2 932 300,00;2 932 300,00;100,00
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;09Д0203900;810;2 932 300,00;2 932 300,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией) товаров, выполнением работ, оказанием услуг, порядком (правилами) предоставления которых не установлены требования о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0203900;813;2 932 300,00;2 932 300,00;100,00
Грант акционерному обществу «Первый канал» на подготовку, организацию, информационное сопровождение и освещение мероприятий;09Д0204000;0;39 900 000,00;39 900 000,00;100,00
Иные бюджетные ассигнования;09Д0204000;800;39 900 000,00;39 900 000,00;100,00
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;09Д0204000;810;39 900 000,00;39 900 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0204000;812;39 900 000,00;39 900 000,00;100,00
Грант Фонду развития социальных и культурных инициатив «Кинематографист» на осуществление уставной деятельности;09Д0204100;0;14 200 000,00;14 200 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0204100;600;14 200 000,00;14 200 000,00;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0204100;630;14 200 000,00;14 200 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0204100;632;14 200 000,00;14 200 000,00;100,00
Грант региональной общественной организации «Московская городская организация Союза писателей России» на осуществление уставной деятельности организации;09Д0204300;0;4 500 000,00;4 500 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0204300;600;4 500 000,00;4 500 000,00;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0204300;630;4 500 000,00;4 500 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0204300;632;4 500 000,00;4 500 000,00;100,00
Грант автономной некоммерческой организации «Культурно-патриотический центр «Армия и культура» на организацию и проведение торжественного вечера-концерта «Молодости нашей нет конца»;09Д0204400;0;10 000 000,00;10 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0204400;600;10 000 000,00;10 000 000,00;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0204400;630;10 000 000,00;10 000 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0204400;632;10 000 000,00;10 000 000,00;100,00
Грант некоммерческому благотворительному фонду Олега Табакова на осуществление уставной деятельности фонда;09Д0204500;0;180 000 000,00;180 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0204500;600;180 000 000,00;180 000 000,00;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0204500;630;180 000 000,00;180 000 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0204500;632;180 000 000,00;180 000 000,00;100,00
Грант фонду содействия развитию теле- и киноискусств «Международный форум телевидения и кино» на организацию и проведение телекинофорума «Вместе»;09Д0204600;0;10 000 000,00;10 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0204600;600;10 000 000,00;10 000 000,00;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0204600;630;10 000 000,00;10 000 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0204600;632;10 000 000,00;10 000 000,00;100,00
Грант Фонду содействия возрождению Синодального хора на осуществление уставной деятельности;09Д0204700;0;4 500 000,00;4 500 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0204700;600;4 500 000,00;4 500 000,00;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0204700;630;4 500 000,00;4 500 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0204700;632;4 500 000,00;4 500 000,00;100,00
Грант Благотворительному фонду содействия развитию хореографического и изобразительного искусства «Илзе Лиепа» на организацию и проведение гала-спектакля «Князь Владимир» в Севастопольском академическом русском драматическом театре им. А.В. Луначарского;09Д0204800;0;8 154 000,00;5 662 000,00;69,44
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0204800;600;8 154 000,00;5 662 000,00;69,44
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0204800;630;8 154 000,00;5 662 000,00;69,44
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0204800;632;8 154 000,00;5 662 000,00;69,44
Грант фонду развития национальных и федеративных отношений «СБЛИЖЕНИЕ» на осуществление уставной деятельности фонда;09Д0205000;0;49 651 800,00;;
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0205000;600;49 651 800,00;;
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0205000;630;49 651 800,00;;
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0205000;632;49 651 800,00;;
Субсидия некоммерческому партнерству содействия реализации общенациональной программы «В кругу семьи» на организацию и проведение четвертого новогоднего фестиваля «Ледовая Москва. В кругу семьи»;09Д0205100;0;180 000 000,00;;
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0205100;600;180 000 000,00;;
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0205100;630;180 000 000,00;;
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0205100;632;180 000 000,00;;
Проведение Московской Федерацией профсоюзов новогодних представлений для детей в Государственном Кремлевском Дворце;09Д0300000;0;172 800 000,00;;
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Д0300000;600;172 800 000,00;;
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Д0300000;630;172 800 000,00;;
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;09Д0300000;632;172 800 000,00;;
Развитие кадрового потенциала и научно-методическое обеспечение в сфере культуры;09Е0000000;0;1 421 362 800,00;1 047 765 182,50;73,72
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных учреждений;09Е0100000;0;87 840 000,00;73 200 000,00;83,33
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;09Е0108100;0;87 840 000,00;73 200 000,00;83,33
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Е0108100;600;87 840 000,00;73 200 000,00;83,33
Субсидии бюджетным учреждениям;09Е0108100;610;87 840 000,00;73 200 000,00;83,33
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);09Е0108100;611;87 840 000,00;73 200 000,00;83,33
Научно-исследовательские, методические мероприятия, повышение квалификации и переподготовка кадров;09Е0200000;0;34 128 300,00;20 794 986,17;60,93
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Е0200000;200;34 128 300,00;20 794 986,17;60,93
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Е0200000;240;34 128 300,00;20 794 986,17;60,93
Прочая закупка товаров, работ и услуг;09Е0200000;244;34 128 300,00;20 794 986,17;60,93
Организационно-техническое обеспечение деятельности учреждений культуры;09Е0300000;0;32 209 400,00;;
Энергосберегающие мероприятия;09Е0309000;0;32 209 400,00;;
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Е0309000;200;32 209 400,00;;
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Е0309000;240;32 209 400,00;;
Прочая закупка товаров, работ и услуг;09Е0309000;244;32 209 400,00;;
Обеспечение безопасности в государственных учреждениях;09Е0400000;0;104 178 000,00;8 715 204,63;8,37
Мероприятия по безопасности в государственных учреждениях;09Е0408700;0;104 178 000,00;8 715 204,63;8,37
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Е0408700;200;104 178 000,00;8 715 204,63;8,37
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Е0408700;240;104 178 000,00;8 715 204,63;8,37
Прочая закупка товаров, работ и услуг;09Е0408700;244;104 178 000,00;8 715 204,63;8,37
Уплата налога на имущество организаций;09Е0500000;0;1 163 007 100,00;945 054 991,70;81,26
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Е0500000;600;1 162 432 100,00;944 671 498,70;81,27
Субсидии бюджетным учреждениям;09Е0500000;610;900 826 500,00;790 361 750,37;87,74
Субсидии бюджетным учреждениям на иные цели;09Е0500000;612;900 826 500,00;790 361 750,37;87,74
Субсидии автономным учреждениям;09Е0500000;620;261 605 600,00;154 309 748,33;58,99
Субсидии автономным учреждениям на иные цели;09Е0500000;622;261 605 600,00;154 309 748,33;58,99
Иные бюджетные ассигнования;09Е0500000;800;575 000,00;383 493,00;66,69
Уплата налогов, сборов и иных платежей;09Е0500000;850;575 000,00;383 493,00;66,69
Уплата налога на имущество организаций и земельного налога;09Е0500000;851;575 000,00;383 493,00;66,69
Государственная охрана, сохранение и популяризация объектов культурного наследия;09Ж0000000;0;4 095 491 200,00;1 372 464 930,99;33,51
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных учреждений;09Ж0100000;0;125 497 300,00;74 869 835,53;59,66
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;09Ж0108100;0;125 497 300,00;74 869 835,53;59,66
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами;09Ж0108100;100;98 813 400,00;68 091 645,27;68,91
Расходы на выплаты персоналу казенных учреждений;09Ж0108100;110;98 813 400,00;68 091 645,27;68,91
Фонд оплаты труда учреждений;09Ж0108100;111;74 925 800,00;53 371 261,85;71,23
Иные выплаты персоналу учреждений, за исключением фонда оплаты труда;09Ж0108100;112;1 260 000,00;26 715,10;2,12
Взносы по обязательному социальному страхованию на выплаты по оплате труда работников и иные выплаты работникам учреждений;09Ж0108100;119;22 627 600,00;14 693 668,32;64,94
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Ж0108100;200;26 505 700,00;6 639 174,99;25,05
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Ж0108100;240;26 505 700,00;6 639 174,99;25,05
Прочая закупка товаров, работ и услуг;09Ж0108100;244;26 505 700,00;6 639 174,99;25,05
Иные бюджетные ассигнования;09Ж0108100;800;178 200,00;139 015,27;78,01
Уплата налогов, сборов и иных платежей;09Ж0108100;850;178 200,00;139 015,27;78,01
Уплата прочих налогов, сборов;09Ж0108100;852;39 100,00;;
Уплата иных платежей;09Ж0108100;853;139 100,00;139 015,27;99,94
Художественно-архитектурное проектирование произведений монументально-декоративного искусства и мемориальных досок;09Ж0200000;0;22 026 600,00;9 634 172,12;43,74
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Ж0200000;200;22 026 600,00;9 634 172,12;43,74
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Ж0200000;240;22 026 600,00;9 634 172,12;43,74
Прочая закупка товаров, работ и услуг;09Ж0200000;244;22 026 600,00;9 634 172,12;43,74
Обеспечение государственной охраны объектов культурного наследия;09Ж0300000;0;132 829 100,00;36 410 750,71;27,41
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Ж0300000;200;132 829 100,00;36 410 750,71;27,41
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Ж0300000;240;132 829 100,00;36 410 750,71;27,41
Прочая закупка товаров, работ и услуг;09Ж0300000;244;132 829 100,00;36 410 750,71;27,41
Сохранение объектов культурного наследия;09Ж0400000;0;2 182 579 500,00;676 604 655,93;31,00
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Ж0400000;200;2 182 579 500,00;676 604 655,93;31,00
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Ж0400000;240;2 182 579 500,00;676 604 655,93;31,00
Прочая закупка товаров, работ и услуг;09Ж0400000;244;2 182 579 500,00;676 604 655,93;31,00
Учет, мониторинг и ремонт произведений монументально-декоративного искусства;09Ж0500000;0;57 008 900,00;3 447 484,65;6,05
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Ж0500000;200;57 008 900,00;3 447 484,65;6,05
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Ж0500000;240;57 008 900,00;3 447 484,65;6,05
Прочая закупка товаров, работ и услуг;09Ж0500000;244;57 008 900,00;3 447 484,65;6,05
Популяризация объектов культурного наследия;09Ж0600000;0;73 636 000,00;19 002 476,80;25,81
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Ж0600000;200;73 636 000,00;19 002 476,80;25,81
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;09Ж0600000;240;73 636 000,00;19 002 476,80;25,81
Прочая закупка товаров, работ и услуг;09Ж0600000;244;73 636 000,00;19 002 476,80;25,81
Ремонтно-реставрационные работы на объектах культурного наследия религиозного назначения;09Ж0700000;0;400 000 000,00;149 434 552,67;37,36
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;09Ж0700000;600;400 000 000,00;149 434 552,67;37,36
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);09Ж0700000;630;400 000 000,00;149 434 552,67;37,36
